ime,opis,pojavljanje
A'Karonys,"High Mage of the Malazan Empire
",GotM
Abide,"Pure Forkrul Assail, lawful inquisitor, mystic
",CG
Able,"Soldier in the Bonehunters
",HoC
Abrastal,"Queen of Bolkando
","DoD, CG"
Absi,"Son of Onos T'oolan (Tool) and Hetan
","DoD, CG"
Agayla,"A mysterious mage on Malaz Isle with connections to many other people
","BH, NoK, SW"
Ahlrada Ahn,"Tiste Andii spy among the Tiste Edur
","MT, BH"
Aimless,"Corporal in the Bridgeburners
",MoI
Aloft,"Pure Forkrul Assail, lawful inquisitor
",CG
Amby Bole,"Retired Mott Irregular and Trygalle Trade Guild shareholder; brother to Jula Bole
","TH, DoD, CG"
Amiss,"Watered Forkrul Assail
",CG
Anaster,"Tenescrowri child of the Dead Seed, later Mortal Sword of the Grey Swords (Later known as Toc the Younger after Memories of Ice, as Toc's soul took possession of Anaster's body after Toc impaled himself to release the wolf god)
","MoI, RG, DoD, CG"
Andarist,"Tiste Andii, wielder of the sword Vengeance (also known as Grief), defender of the Throne of Shadow on Drift Avali, brother of Anomander Rake and Silchas Ruin
",HoC
Anomander Rake,"Anomander Rake was the Lord of Moon's Spawn and later Black Coral, Son of Darkness, Knight of High House Dark and the leader of the Tiste Andii. He was said to be ""seated on the Throne of Sorrow""; a reflection of the loss and apathy his people had suffered.
<p>Anomander was <a href=""/wiki/Malazan_Book_of_the_Fallen#Soletaken_and_D&#39;ivers"" title=""Malazan Book of the Fallen"">Soletaken</a>, able to assume the form of a huge black dragon, presumably due to his drinking of the blood of Tiam, a true Eleint.
As a mage he made use of the Elder Warren of Kurald Galain. It is alluded in Gardens of the Moon and The Crippled God that had he wanted it, he could've destroyed every mage and High Mage at the Siege of Pale. 
He was one of the three chosen sons of Mother Dark, and her most favored. His brothers were Silchas Ruin and Andarist.
Anomander Rake carried an enormous sword on his back. The sword was called Dragnipur, taken from its creator, the Elder God Draconus by Anomander Rake, who then turned it upon its creator.
T'riss was a one-time companion, as were Lady Envy and Caladan Brood.
</p>
","GotM, MoI, RG, TH"
Anji,"Servitor at the Hanged Man inn
",NoK
Antsy,"Sergeant in the Bridgeburners
","GotM, MoI, TH, OST"
Aparal Forge,"Tiste Liosan commander (Soletaken Eleint)
",CG
Apsal'ara,"Imass, Goddess of thieves; imprisoned within Dragnipur
","TH, CG"
Apsalar,"Soldier in the Bridgeburners; formerly known as Sorry; now an assassin. One of the first characters introduced in the series as she was possessed by Rope in the opening pages.
","GotM, DG, HoC, BH, CG"
Apt,"Aptorian matron from the <a href=""/wiki/High_House_Shadow#Realm_of_Shadow"" class=""mw-redirect"" title=""High House Shadow"">Realm of Shadow</a>
","DG, HoC, BH"
Arahathan,"Letherii mage
",MT
Aramala,"Jaghut
",HoC
Aranict,"Atri-Ceda of Lether
","DoD, CG"
Arard,"Prince and former ruler of Coral
",MoI
Aralt Arpat,"Red Blade
",DG
