ime,pojavljanje,opis
A'Karonys,GotM,High Mage of the Malazan Empire
Abide,CG,"Pure Forkrul Assail, lawful inquisitor, mystic"
Able,HoC,Soldier in the Bonehunters
Abrastal,"DoD, CG",Queen of Bolkando
Absi,"DoD, CG",Son of Onos T'oolan (Tool) and Hetan
Agayla,"BH, NoK, SW",A mysterious mage on Malaz Isle with connections to many other people
Ahlrada Ahn,"MT, BH",Tiste Andii spy among the Tiste Edur
Aimless,MoI,Corporal in the Bridgeburners
Aloft,CG,"Pure Forkrul Assail, lawful inquisitor"
Amby Bole,"TH, DoD, CG",Retired Mott Irregular and Trygalle Trade Guild shareholder; brother to Jula Bole
Amiss,CG,Watered Forkrul Assail
Anaster,"MoI, RG, DoD, CG","Tenescrowri child of the Dead Seed, later Mortal Sword of the Grey Swords (Later known as Toc the Younger after Memories of Ice, as Toc's soul took possession of Anaster's body after Toc impaled himself to release the wolf god)"
Andarist,HoC,"Tiste Andii, wielder of the sword Vengeance (also known as Grief), defender of the Throne of Shadow on Drift Avali, brother of Anomander Rake and Silchas Ruin"
Anomander Rake,"GotM, MoI, RG, TH","Anomander Rake was the Lord of Moon's Spawn and later Black Coral, Son of Darkness, Knight of High House Dark and the leader of the Tiste Andii. He was said to be ""seated on the Throne of Sorrow""; a reflection of the loss and apathy his people had suffered.Anomander was Soletaken, able to assume the form of a huge black dragon, presumably due to his drinking of the blood of Tiam, a true Eleint.As a mage he made use of the Elder Warren of Kurald Galain. It is alluded in Gardens of the Moon and The Crippled God that had he wanted it, he could've destroyed every mage and High Mage at the Siege of Pale. He was one of the three chosen sons of Mother Dark, and her most favored. His brothers were Silchas Ruin and Andarist.Anomander Rake carried an enormous sword on his back. The sword was called Dragnipur, taken from its creator, the Elder God Draconus by Anomander Rake, who then turned it upon its creator.T'riss was a one-time companion, as were Lady Envy and Caladan Brood."
Anji,NoK,Servitor at the Hanged Man inn
Antsy,"GotM, MoI, TH, OST",Sergeant in the Bridgeburners
Aparal Forge,CG,Tiste Liosan commander (Soletaken Eleint)
Apsal'ara,"TH, CG","Imass, Goddess of thieves; imprisoned within Dragnipur"
Apsalar,"GotM, DG, HoC, BH, CG",Soldier in the Bridgeburners; formerly known as Sorry; now an assassin. One of the first characters introduced in the series as she was possessed by Rope in the opening pages.
Apt,"DG, HoC, BH",Aptorian matron from the Realm of Shadow
Arahathan,MT,Letherii mage
Aramala,HoC,Jaghut
Aranict,"DoD, CG",Atri-Ceda of Lether
Arard,MoI,Prince and former ruler of Coral
Aralt Arpat,DG,Red Blade
Aranatha,TH,Tiste Andii survivor of Drift Avalii.
Asane,DoD,Wanderer
Ash,NoK,A renegade leader of the Bridgeburners who remained loyal to Kellanved after his disappearance
Astabb,HoC,Assistant to Slavemaster Silgar
Ay Estos,MoI,"Bonecaster of the K'ron T'lan Imass, Soletaken"
Azra Jael,MoI,Malazan marine in Onearm's Host
Ba'ienrok,HoC,"Hermit in Seven Cities, also called Keeper; later revealed to be Urko Crust"
Baaljagg,"MoI, DoD, CG","Last of the mortal Ay, companion to Lady Envy, she carried the soul of Fanderay"
Badalle,"DoD, CG",Child in the Snake
Badan Gruk,"RG, DoD, CG",Sergeant in the Bonehunters
Badar,MT,Unblooded Tiste Edur
Bainisk,TH,Youth worker in the Darujhistan mines; friend of Harllo Younger
Bairoth Gild,HoC,"Thelomen Toblakai companion of Karsa Orlong, along with Delum Thord."
Bakal,DoD,Barghast warrior who tries to follow in Onos Toolan's footsteps after his death.
Balantis,HoC,Assistant to Slavemaster Silgar
Baldick,HoC,Soldier in the Bonehunters
Balgrid,"RG, DoD",Soldier in the Bonehunters
Balm,"HoC, BH, RG, DoD, CG",Sergeant in the Bonehunters
Banaschar,"BH, RG, DoD, CG","Former priest of D'rek, later attached to the Bonehunters"
Barack,MoI,Liaison officer in renegade Malazan army
Baran,"GotM, DG, BH, TH",Hound of Shadow
Barathol Mekhar,"BH, TH, OST",Former Red Blade turned blacksmith; cousin to Kalam Mekhar and protector of Chaur
Baria Setral,DG,Red Blade; brother to Mesker Setral
Baruk,"GotM, MoI, TH, OST",High Alchemist of Darujhistan and Mage of the T'orrud Cabal
Bauchelain,MoI,"Necromancer/summoner, accomplice of Korbal Broach and employer of Emancipor Reese"
Baudin,"DG, MoI",Prisoner who is a companion to Felisin and Heboric; member of the Talon.
Bavedict,"DoD, CG",Alchemist with the Hedge's Bridgeburners
Beak,RG,Mage with the Bonehunters
